Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Lebanon,LBN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,81.8563657201892,84.0431782627638,85.9431050820614,87.3873982599216,88.3295342451798,88.2197930064824,87.2164296940375,86.0890780020907,84.8587371764605,83.5491484604616,82.1831767778169,80.7744165275135,79.3418876378513,77.9134786129561,76.495189061445,75.2860798180461,74.2255782230847,72.9651721768554,71.5925967693534,70.2652774012915,69.0362417624162,67.9330634416676,66.9683288913599,66.1344397652806,65.4154596237306,64.7530687129374,64.1224800190091,63.4838264058864,62.8375317488558,62.358538952736,62.0148046251769,61.5068248388583,60.710914931292,59.7263770001403,58.6057078264908,57.3524635218869,56.0172588910761,54.6620171079713,53.300085875769,51.9491104861873,50.6563582805958,49.4201812378992,48.1815801272422,46.889680823838,45.5258596855078,44.1424160744915,42.8428706504813,41.6622163670545,40.6056944586677,39.716965230376,39.0411661866398,38.5410536269096,38.1506567965602,37.846285758628,37.6072959135673,38.2650249084939,39.8164068483796,41.3248914495803,42.7708062009209,44.0805588068059,44.4091465412885,43.7423310672882,42.946098371764,42.0988721135507,41.125172270618,..
Lebanon,LBN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,11.2493610335383,11.1179912592816,10.9565353677939,10.7691363872705,10.575799400309,10.3539537815246,10.1136899113867,9.89806893158442,9.70433961454265,9.52823648052439,9.36940813425054,9.2231757989981,9.08179744001514,8.9528900380206,8.85149392302498,8.772112070026,8.53139212591036,8.30790817146874,8.24985298155946,8.1356935001343,7.96283740734597,7.74457521254844,7.41485139415555,7.09514598319531,6.90894979065776,6.79078367746497,6.72937100839618,6.70776735682246,6.717824758586,6.78226165909633,6.88984479385715,7.01440112883023,7.15053939247068,7.29442756304079,7.43991312246863,7.57920247851289,7.70855474033144,7.82752178046932,7.93504444755505,8.03096380287833,8.11875254885738,8.20307926105469,8.28606473446446,8.36239623292676,8.42249792973899,8.47057093849547,8.51690746767727,8.56619099631509,8.62294738258141,8.693996451066,8.78742347281383,8.90731215015141,9.05581048675849,9.24453099569825,9.47028805195901,10.071433302371,11.0557226594283,12.0343397986007,12.9736395274874,13.867380966529,14.4982421644228,14.7465520811131,15.0288972831934,15.481363289485,15.9224170227039,..
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-42.4511182157698,26.5331600932491,49.4473791849141,16.4383457045728,10.7656697971889,8.10524197734502,6.44886256985258,11.2859357161668,1.05496666740667,3.66572378505683,-0.525584634783087,1.34187161970405,3.83966927702973,3.42314982843781,3.22709826879041,6.67944461641103,2.68577931016345,1.54951500083213,9.31062252641144,9.06912826789082,10.232155577776,7.97513555844932,0.86733987855277,2.56479133680038,3.8278734986016,2.48406010500743,0.462320792597581,1.55454940856943,0.903028464073813,-1.88470575631651,-6.91492472851026,-21.3998996914321,-7.00123862514116,-0.621678970663112,-0.760584470257314,..,..
Lebanon,LBN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.23602590745359,-16.3590279795685,6.46453717779807,7.4726505664867,10.2838370591134,14.7498293928661,8.05441560014745,7.45518200555637,4.93334086167993,2.70092703111153,-2.52730346687893,-2.31901130907688,-3.63119820571979,2.44041061737142,2.06425785756271,-0.934856774421199,-3.79869178165695,-6.01526413734325,2.23546317065147,-6.60362121406406,-21.7826415577984,-12.7002384584753,..,..
Lebanon,LBN,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-23.7091629307817,-25.5858580911917,-20.8205658199381,-12.7829830371367,-5.06914682104357,-6.4637503869807,-14.0893224912248,-19.0424176351022,-19.6443379596193,-13.8340690487529,-23.4382140171445,-25.5114319532074,-26.2298655609816,-17.1077378092157,-20.4780237123596,-22.8822040339123,-24.3470417876755,-21.828092491848,-8.76184199911137,-19.6978128626341,-34.606227109401,-28.103669636709,..,..
Lebanon,LBN,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,109.925088646489,117.905808025004,92.4546720066934,82.844256447048,76.3510747169767,70.2721154740452,73.1353869918234,68.0966127579704,62.0865979381443,54.7171975983785,50.8141707661214,50.1152959262106,55.5568083587026,51.0425325574951,54.0908340214699,90.9727970270956,92.762656272585,91.0693970298409,97.9677079660494,106.625673176194,90.3978388619092,95.0966529416243,102.139882412503,88.5455019230591,86.1743285920565,79.8171565925627,71.8390426347811,67.7236177908116,68.4554292593276,68.2573073043718,62.98091601016,50.1298042879627,78.8286204025241,114.888278265666,104.206410069182,..,..
Lebanon,LBN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,160.369616282641,182.607770987474,193.731581562473,126.315792710564,117.65409260519,113.370196627905,121.849822318919,120.433190589038,134.408584169251,142.554927835052,153.500210333091,170.93810776799,189.2190622598,198.858946893675,198.037752840122,213.49528654005,223.082333941363,229.447901134241,241.436414893744,240.75984917293,235.607326816909,231.835194327813,239.317784133789,243.034254777896,235.819514655813,236.65496359554,244.296910042665,247.241629881364,259.293191038484,260.618310540712,..,..,..,..,..,..,..,..
Lesotho,LSO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,764.057315373577,829.936659219728,892.925255787736,931.984257384795,995.244143256362,1036.78808522046,1103.00202176293,1154.38234468055,1179.421705049,1198.69481991826,1272.924433991,1350.00529706535,1385.18222067454,1484.09584449257,1560.74877547924,1680.87364079911,1813.4444072345,1932.4266622594,2064.42311214194,2036.26308567654,2152.91528289768,2278.50142791066,2291.4956531127,2538.26310306049,2771.24496867163,3034.64692924848,2942.18153663921,2618.81820770145,2632.28775223004,2568.34114362719,2559.09776077846,2544.78249551214,2761.31105002216,2880.96629615692,3001.16311951334,..
Lesotho,LSO,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,89.6304023202281,89.8464429572359,89.8595619021986,89.4174874213759,88.334835618388,87.8065693849669,88.1129983255549,87.6703494936381,86.374612571541,84.8471845873817,83.1962188216575,81.5221571345526,79.8975525492141,78.3885200677794,77.0857495295774,76.0632158796072,75.5407581304627,75.6733976974303,76.2471262069241,77.0093005101148,77.8196422166958,78.5920704439156,79.2991124759981,79.9351100189008,80.4853002247774,80.9399571702679,80.0129224126189,79.3664956747158,80.1702478678528,80.7597926004266,81.0483513249204,81.0229799851742,80.7101257818573,80.1077756684069,79.2329674832668,78.1743938603411,77.0712605764152,75.7684095719607,74.1878030007332,72.5296579876653,70.8916920944126,69.3831614175115,67.9709401452816,66.6592697089297,65.5176757777228,64.5497968027709,63.637278245414,62.8352975816549,62.3109156572377,61.9710098343614,61.7008499005291,61.5301860259284,61.427914653225,61.4056437923107,61.512750810945,61.5855056647458,61.4858233820983,61.1240132214926,60.5600791706946,59.9711194704283,59.371971513332,58.7238136781976,57.9487186852772,57.0186033567694,56.0157065191357,..
